Hora de inicio de la toma de datos: 11:31:21
AT(s)	W	X	Y	Z
4.34	0.962843	0.09179	-0.03605	-0.251414	
4.364	0.961284	0.095936	-0.036919	-0.255668	
4.396	0.960256	0.10013	-0.036395	-0.257989	
4.42	0.959112	0.104853	-0.036032	-0.260406	
4.446	0.958416	0.1073	-0.035916	-0.261983	
4.467	0.957893	0.109475	-0.035156	-0.263099	
4.493	0.95739	0.111416	-0.034563	-0.26419	
4.52	0.956814	0.113026	-0.034514	-0.265596	
4.543	0.956492	0.112901	-0.035085	-0.266732	
4.569	0.956248	0.113386	-0.034124	-0.267525	
4.591	0.956127	0.113925	-0.032644	-0.267913	
4.62	0.955969	0.11408	-0.031637	-0.268529	
4.644	0.955751	0.1138	-0.030984	-0.2695	
4.668	0.955517	0.114096	-0.029951	-0.270319	
4.694	0.955434	0.113609	-0.028658	-0.270957	
4.733	0.9553	0.113133	-0.028013	-0.271696	
4.758	0.955044	0.113178	-0.027037	-0.272672	
4.79	0.95475	0.114536	-0.024611	-0.273366	
4.815	0.95468	0.113007	-0.023716	-0.274323	
4.838	0.954636	0.109827	-0.023541	-0.275779	
4.865	0.9545	0.107588	-0.022904	-0.277181	
4.887	0.95448	0.106453	-0.022403	-0.277729	
4.915	0.954348	0.100523	-0.023189	-0.280316	
4.944	0.954197	0.094545	-0.024365	-0.2828	
4.97	0.953763	0.093371	-0.024917	-0.284599	
4.994	0.953536	0.092968	-0.023917	-0.285576	
5.032	0.953219	0.093223	-0.022752	-0.286645	
5.058	0.953184	0.091817	-0.022169	-0.287261	
5.083	0.95335	0.090895	-0.02206	-0.287011	
5.115	0.95377	0.08943	-0.021098	-0.286146	
5.14	0.954007	0.088721	-0.020182	-0.285645	
5.164	0.953963	0.09012	-0.019631	-0.28539	
5.188	0.953747	0.09042	-0.018778	-0.286073	
5.215	0.953851	0.085236	-0.016956	-0.287431	
5.239	0.954492	0.0828	-0.015749	-0.286077	
5.27	0.954553	0.083676	-0.014695	-0.285676	
5.294	0.954655	0.078624	-0.01286	-0.286855	
5.317	0.955317	0.070704	-0.01112	-0.286787	
5.344	0.956225	0.06642	-0.009848	-0.284825	
5.371	0.956606	0.066123	-0.009561	-0.283622	
5.393	0.956391	0.063674	-0.009661	-0.284902	
5.421	0.9565	0.055737	-0.0106	-0.286163	
5.457	0.957092	0.047258	-0.01483	-0.285521	
5.483	0.957095	0.045371	-0.019237	-0.285554	
5.508	0.957076	0.041645	-0.0236	-0.285858	
5.541	0.95676	0.033173	-0.027648	-0.287656	
5.564	0.95653	0.026188	-0.030184	-0.288885	
5.591	0.956274	0.015877	-0.032943	-0.290179	
5.619	0.955892	0.008181	-0.032949	-0.291751	
5.647	0.955608	0.001434	-0.032543	-0.292834	
5.668	0.95524	-0.007315	-0.032618	-0.293938	
5.697	0.955105	-0.014153	-0.033704	-0.294003	
5.718	0.954854	-0.022357	-0.034805	-0.29418	
5.744	0.954404	-0.029359	-0.035013	-0.295002	
5.769	0.953869	-0.036748	-0.035558	-0.295838	
5.795	0.953962	-0.039251	-0.036746	-0.295069	
5.819	0.954733	-0.035967	-0.038013	-0.292825	
5.847	0.95559	-0.032284	-0.038672	-0.290364	
5.87	0.956662	-0.027512	-0.038844	-0.287284	
5.895	0.957869	-0.023898	-0.040299	-0.28336	
5.919	0.959426	-0.020942	-0.042786	-0.277906	
5.945	0.961132	-0.014704	-0.043936	-0.272176	
5.969	0.962647	-0.003592	-0.043431	-0.267229	
5.996	0.963497	-0.0003	-0.042171	-0.264378	
6.02	0.96485	0.003821	-0.039235	-0.259827	
6.047	0.965617	0.011071	-0.034788	-0.257392	
6.07	0.965966	0.011038	-0.029729	-0.25672	
6.095	0.966903	0.007539	-0.026396	-0.253664	
6.12	0.96793	0.007674	-0.021215	-0.250204	
6.158	0.968113	0.004997	-0.014429	-0.250047	
6.189	0.969024	0.000137	-0.010471	-0.246746	
6.221	0.969573	0.001758	-0.008983	-0.244631	
6.246	0.969594	0.000331	-0.005807	-0.244651	
6.27	0.969987	-0.001893	-0.003002	-0.243133	
6.294	0.970465	0.000655	-0.001503	-0.241238	
6.321	0.970984	0.004057	-0.002586	-0.239098	
6.346	0.97153	0.010418	-0.004086	-0.236651	
6.369	0.971999	0.015218	-0.005556	-0.234425	
6.394	0.972319	0.021772	-0.00763	-0.232518	
6.419	0.972213	0.030349	-0.009768	-0.231916	
6.444	0.972134	0.034679	-0.010713	-0.231601	
6.471	0.972331	0.038462	-0.011424	-0.230137	
6.495	0.972363	0.043587	-0.012097	-0.229051	
6.522	0.972166	0.046638	-0.01273	-0.229251	
6.545	0.971992	0.048564	-0.013305	-0.229557	
6.57	0.971993	0.051485	-0.014307	-0.228854	
6.594	0.971843	0.05766	-0.016408	-0.227877	
6.62	0.971089	0.066264	-0.019303	-0.228523	
6.658	0.970109	0.073072	-0.020592	-0.230487	
6.688	0.969704	0.07962	-0.021959	-0.229899	
6.715	0.968911	0.088597	-0.023265	-0.229826	
6.74	0.967859	0.096644	-0.02517	-0.230816	
6.764	0.966334	0.105365	-0.027067	-0.233162	
6.808	0.965211	0.114726	-0.029964	-0.233041	
6.839	0.963107	0.128655	-0.03291	-0.234073	
6.87	0.961986	0.134856	-0.034062	-0.235023	
6.896	0.960657	0.142348	-0.035146	-0.235883	
6.933	0.959133	0.149825	-0.035499	-0.237393	
6.957	0.958199	0.153968	-0.035369	-0.238534	
6.982	0.957328	0.157741	-0.03545	-0.239549	
7.007	0.956662	0.159173	-0.035594	-0.241237	
7.033	0.956408	0.157989	-0.036007	-0.242954	
7.065	0.956265	0.155674	-0.035202	-0.24512	
7.089	0.956498	0.149168	-0.036162	-0.248099	
7.12	0.956328	0.14489	-0.035934	-0.251301	
7.145	0.956021	0.142096	-0.034932	-0.25419	
7.169	0.956014	0.139577	-0.033987	-0.255737	
7.195	0.955846	0.137634	-0.033986	-0.25741	
7.22	0.955421	0.137024	-0.033616	-0.259356	
7.247	0.955151	0.139524	-0.032712	-0.259133	
7.271	0.954785	0.14271	-0.03085	-0.258975	
7.296	0.954568	0.141223	-0.030033	-0.260681	
7.321	0.95444	0.136456	-0.028415	-0.263849	
7.345	0.954376	0.134279	-0.026855	-0.265359	
7.37	0.95458	0.129942	-0.025699	-0.266893	
7.394	0.9551	0.124516	-0.02499	-0.267685	
7.42	0.955295	0.122288	-0.023893	-0.268116	
7.444	0.955287	0.120718	-0.022784	-0.26895	
7.47	0.955263	0.1178	-0.022776	-0.270328	
7.495	0.954974	0.115769	-0.02354	-0.272155	
7.521	0.954781	0.114899	-0.023539	-0.2732	
7.545	0.954579	0.114419	-0.023488	-0.27411	
7.569	0.95431	0.113081	-0.024141	-0.275539	
7.608	0.95419	0.110281	-0.024302	-0.277072	
7.64	0.954248	0.110221	-0.021588	-0.277123	
7.682	0.954456	0.107079	-0.021373	-0.277652	
7.708	0.954346	0.104962	-0.022195	-0.278773	
7.733	0.954518	0.102598	-0.022197	-0.279065	
7.759	0.95433	0.101501	-0.021387	-0.28017	
7.79	0.953963	0.099775	-0.022436	-0.281951	
7.82	0.954342	0.097035	-0.023051	-0.281573	
7.846	0.95483	0.094738	-0.022116	-0.280777	
7.871	0.955059	0.092499	-0.020683	-0.280852	
7.897	0.954962	0.09123	-0.019873	-0.281655	
7.92	0.955256	0.090919	-0.019814	-0.280763	
7.946	0.955498	0.091649	-0.018819	-0.279767	
7.971	0.955331	0.088419	-0.016752	-0.281505	
7.994	0.955083	0.081873	-0.014937	-0.284413	
8.032	0.95561	0.073434	-0.01469	-0.28496	
8.058	0.955835	0.066619	-0.014678	-0.285877	
8.089	0.955456	0.056212	-0.014455	-0.28937	
8.114	0.955058	0.045198	-0.015797	-0.292526	
8.146	0.95477	0.039347	-0.016993	-0.29424	
8.171	0.954569	0.032676	-0.018014	-0.295643	
8.196	0.955192	0.028715	-0.019277	-0.29396	
8.221	0.95636	0.025665	-0.021389	-0.290275	
8.245	0.957831	0.021453	-0.024249	-0.285503	
8.271	0.959458	0.01745	-0.027396	-0.279974	
8.295	0.961008	0.016419	-0.031151	-0.27427	
8.32	0.962231	0.019701	-0.034213	-0.269356	
8.346	0.962977	0.023047	-0.035488	-0.266243	
8.37	0.964018	0.02588	-0.036186	-0.26209	
8.407	0.96524	0.030287	-0.037633	-0.256864	
8.433	0.965942	0.034435	-0.03781	-0.253655	
8.463	0.96668	0.03434	-0.038216	-0.250779	
8.49	0.967918	0.036021	-0.040653	-0.245324	
