Hora de inicio de la toma de datos: 11:30:49
AT(s)	W	X	Y	Z
5.084	0.973546	-0.102799	0.019183	0.203159	
5.106	0.969501	-0.10418	0.027376	0.220149	
5.132	0.964678	-0.105585	0.033481	0.239012	
5.175	0.96072	-0.109039	0.037965	0.252362	
5.2	0.958151	-0.106359	0.040114	0.262725	
5.226	0.954862	-0.102295	0.047774	0.274757	
5.25	0.9501	-0.105861	0.060112	0.287211	
5.282	0.946239	-0.104901	0.069344	0.298026	
5.308	0.943024	-0.104671	0.074487	0.306922	
5.34	0.940533	-0.103247	0.078558	0.313953	
5.375	0.936597	-0.102802	0.086255	0.323693	
5.406	0.934471	-0.105053	0.087662	0.328699	
5.432	0.933717	-0.104741	0.087405	0.331002	
5.456	0.933063	-0.099055	0.089546	0.334009	
5.483	0.931694	-0.100581	0.093104	0.336396	
5.512	0.931141	-0.104593	0.09367	0.336546	
5.536	0.932052	-0.100951	0.093056	0.335304	
5.576	0.932644	-0.101634	0.092615	0.33357	
5.6	0.932692	-0.103872	0.091753	0.332983	
5.625	0.933681	-0.101819	0.08947	0.331462	
5.65	0.935712	-0.098866	0.085012	0.327782	
5.676	0.938231	-0.099457	0.078953	0.321865	
5.702	0.941538	-0.102039	0.069843	0.313396	
5.725	0.945455	-0.099676	0.062349	0.303797	
5.75	0.949714	-0.094104	0.055935	0.29336	
5.775	0.953153	-0.091938	0.05238	0.283378	
5.8	0.956418	-0.092644	0.048818	0.272579	
5.826	0.962464	-0.086036	0.042131	0.253939	
5.857	0.965299	-0.082502	0.039739	0.244566	
5.884	0.967091	-0.083874	0.04318	0.236295	
5.908	0.968621	-0.08526	0.048529	0.22836	
5.931	0.971435	-0.085107	0.053163	0.215045	
5.958	0.974299	-0.088018	0.05326	0.200394	
5.987	0.977264	-0.091135	0.056184	0.183012	
6.027	0.983063	-0.081934	0.057717	0.153435	
6.058	0.986416	-0.079471	0.055098	0.132789	
6.088	0.989597	-0.073018	0.053481	0.11183	
6.112	0.993367	-0.061731	0.048014	0.084292	
6.138	0.995559	-0.056224	0.041333	0.06319	
6.161	0.997375	-0.047401	0.033519	0.043277	
6.188	0.998513	-0.039469	0.025611	0.027552	
6.215	0.999144	-0.033957	0.017245	0.016155	
6.236	0.999651	-0.02529	0.006528	0.004033	
6.264	0.999749	-0.02138	-0.004225	-0.0053	
6.287	0.999706	-0.019077	-0.011766	-0.009259	
6.312	0.999688	-0.021204	-0.01222	-0.005036	
6.338	0.999668	-0.024382	-0.008348	-0.000826	
6.375	0.999563	-0.029137	-0.004605	-0.001733	
6.401	0.99946	-0.032834	-0.000675	-0.001391	
6.427	0.999269	-0.037339	0.007087	0.004034	
6.457	0.999161	-0.03957	0.009342	0.004859	
6.483	0.999111	-0.04081	0.009511	0.004698	
6.515	0.999117	-0.040712	0.008738	0.005658	
6.536	0.999152	-0.040174	0.007284	0.0053	
6.575	0.999193	-0.039649	0.005383	0.00362	
6.602	0.999169	-0.040411	0.004724	0.002537	
6.625	0.999121	-0.041475	0.005389	0.002979	
6.651	0.999059	-0.042749	0.006728	0.002899	
6.675	0.998983	-0.044391	0.007504	0.002437	
6.7	0.998932	-0.045339	0.008548	0.002486	
6.725	0.998879	-0.046406	0.009011	0.002367	
6.751	0.998798	-0.048173	0.008888	0.001949	
6.776	0.998835	-0.047618	0.007358	0.002647	
6.807	0.99887	-0.046934	0.007077	0.002593	
6.833	0.998856	-0.04723	0.007182	0.001935	
6.861	0.998841	-0.047489	0.007582	0.001821	
6.887	0.998876	-0.046601	0.008354	0.002452	
6.926	0.998863	-0.046526	0.009968	0.002969	
6.958	0.998826	-0.047164	0.010573	0.003193	
6.989	0.998821	-0.04724	0.01059	0.00362	
7.01	0.998853	-0.046561	0.010264	0.004301	
7.051	0.998815	-0.047483	0.009343	0.005225	
7.082	0.998801	-0.047614	0.009779	0.005785	
