Hora de inicio de la toma de datos: 12:22:40
AT(s) ROLL1(udig) MCF1 IFD1 A1 MCF2 IFP2 IFD2(*) A2(**) MCF3 IFP3 IFD3(*) A3 MCF4 IFP4 IFD4(*) A4 MCF5 IFP5 IFD5(*) A5 ROLL5 C C_Ano usado
1.2 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.21 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.22 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.23 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.24 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.25 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.26 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.27 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.28 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.29 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.3 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.31 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.32 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.33 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.34 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.35 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.36 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.37 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.38 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.39 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.4 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.41 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.42 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.43 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.44 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.45 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.46 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.47 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.48 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.49 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.5 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.51 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.52 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.53 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.54 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.55 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.56 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.57 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.58 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.59 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.6 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.61 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.62 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.63 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.64 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.65 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.66 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.67 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.68 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.69 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.7 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.71 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.72 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.73 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.74 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.75 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.76 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.77 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.78 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.79 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.8 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
